ghost_id,pacman_wins,ghost_wins,draws,total_games,avg_steps,win_rate_pacman,ghost_end_positions,list_ghost_positions,has_errors
1,1,0,0,1,8.00,100.0%,"(12, 13)","[(9, 11), (9, 12), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (12, 13)]",No
2,1,0,0,1,14.00,100.0%,"(7, 12)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12)]",No
3,1,0,0,1,10.00,100.0%,"(10, 7)","[(9, 9), (9, 10), (9, 9), (9, 10), (9, 9), (9, 10), (9, 9), (9, 8), (9, 7), (10, 7)]",No
4,1,0,0,1,10.00,100.0%,"(9, 6)","[(9, 11), (9, 10), (9, 9), (9, 10), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6)]",No
5,1,0,0,1,13.00,100.0%,"(9, 13)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (9, 13)]",No
6,1,0,0,1,16.00,100.0%,"(8, 7)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (8, 7), (7, 7), (8, 7), (7, 7), (8, 7), (7, 7), (8, 7), (7, 7), (8, 7), (7, 7), (8, 7)]",No
8,1,0,0,1,16.00,100.0%,"(8, 7)","[(9, 9), (9, 8), (9, 7), (10, 7), (11, 7), (10, 7), (9, 7), (10, 7), (11, 7), (10, 7), (9, 7), (10, 7), (11, 7), (10, 7), (9, 7), (8, 7)]",No
9,1,0,0,1,14.00,100.0%,"(7, 12)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12)]",No
10,1,0,0,1,16.00,100.0%,"(9, 6)","[(9, 9), (9, 8), (9, 7), (8, 7), (9, 7), (10, 7), (9, 7), (9, 6), (9, 7), (9, 8), (9, 7), (10, 7), (9, 7), (8, 7), (9, 7), (9, 6)]",No
11,1,0,0,1,6.00,100.0%,"(9, 14)","[(9, 11), (9, 12), (9, 13), (9, 14), (9, 15), (9, 14)]",No
12,1,0,0,1,22.00,100.0%,"(2, 9)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (2, 9)]",No
14,1,0,0,1,28.00,100.0%,"(5, 12)","[(9, 11), (9, 12), (9, 13), (8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (5, 11), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12), (5, 12)]",No
15,1,0,0,1,10.00,100.0%,"(10, 7)","[(9, 9), (9, 8), (9, 9), (9, 8), (9, 9), (9, 8), (9, 9), (9, 8), (9, 7), (10, 7)]",No
16,1,0,0,1,10.00,100.0%,"(14, 15)","[(9, 11), (9, 12), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (13, 14), (13, 15), (14, 15)]",No
17,1,0,0,1,10.00,100.0%,"(8, 7)","[(9, 11), (9, 12), (9, 11), (9, 10), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7)]",No
18,1,0,0,1,22.00,100.0%,"(2, 1)","[(9, 11), (9, 12), (9, 13), (8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (2, 1)]",No
19,1,0,0,1,24.00,100.0%,"(4, 1)","[(9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1)]",No
20,1,0,0,1,18.00,100.0%,"(12, 5)","[(9, 9), (9, 8), (9, 7), (9, 6), (9, 7), (10, 7), (9, 7), (9, 6), (9, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 6), (9, 5), (10, 5), (11, 5), (12, 5)]",No
21,1,0,0,1,1.00,100.0%,"(9, 10)",[],No
22,1,0,0,1,6.00,100.0%,"(9, 14)","[(9, 11), (9, 12), (9, 12), (9, 12), (9, 13), (9, 14)]",No
23,1,0,0,1,10.00,100.0%,"(9, 6)","[(9, 11), (9, 10), (9, 9), (9, 10), (9, 9), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6)]",No
24,1,0,0,1,18.00,100.0%,"(13, 8)","[(9, 11), (9, 12), (9, 13), (8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (13, 8)]",No
25,1,0,0,1,16.00,100.0%,"(10, 7)","[(9, 9), (9, 8), (9, 7), (8, 7), (9, 7), (8, 7), (9, 7), (8, 7), (9, 7), (8, 7), (9, 7), (8, 7), (9, 7), (8, 7), (9, 7), (10, 7)]",No
